code,name,credits,description,prerequisites
NAS 233,— Visual Sovereignty,(4 units),"Course Description: Extensively examine the field of contemporary Native American and Indigenous photography, film and performance through research of artworks, writings by artists, theorists, and material in museum collections.",
NAS 237,— Native American Art Collections & Museums,(4 units),"Course Description: Research and examination of regional Native American art held in museums and other public institutions, as well as privately-held collections. Includes onsite viewing and research of museum collections and archives.",
NAS 240,— Native American Public Health: Topics & Issues,(4 units),Course Description: Introduction to Native American public health issues and contributing causal factors (including environmental justice and historical trauma); the dimensions of cultural competency in diagnosis and service provision; the structure of Native health care institutions; and debates in Native treatment modalities.,
NAS 246,— Native American/Indigenous Research Methodologies,(4 units),Course Description: Introduction to advanced methodologies currently influencing research in Native American Studies and among Indigenous communities. Develop an original project and course assignments will guide them through the process of research design and implementation.,
NAS 250,— Indigenous Critique of Classic Maya Ethnographies,(4 units),Course Description: Construction of the Maya world through ethnographic writing during the present century. Deconstruction of ethnographies about the Mayans considering the modern theories and social/anthropological critiques of modern ethnographies.,Prerequisite(s): Graduate standing or consent of instructor.
NAS 254,— Native American Literature,(4 units),"Course Description: Introduction to the field of Native American Literature, creative works (fiction, poetry, memoir, personal essay), literary studies.",
NAS 257,— Indigenous Religious Traditions in the Americas,(4 units),"Course Description: Religious/spiritual traditions, belief-systems, and world-views of Native American/indigenous peoples in the Americas. Land, ecological knowledge, sacred sites, the role of tricksters, language (revitalization), gender, ethics of representation, cultural revitalization, renewed ancient knowledge and practices, ceremonial (and daily) performance of the sacred, music, the arts, the worlds of the sacred, the rules of the sacred, freedom of religion.",
NAS 280,— Ethnohistorical Theory & Method,(4 units),"Course Description: Discussion of the ethnohistorical method; the utilization of diverse types of data, especially documentary sources, to reconstruct socio-cultural history. Particular attention to the applied area of ethnohistory in the solution of contemporary social problems.",
NAS 298,— Group Study for Graduate Students,(1-5 units),Course Description: Group study for graduate students.,Prerequisite(s): Consent of instructor; graduate standing.
NAS 299,— Special Study for Graduate Students,(1-12 units),Course Description: Special study for graduate students.,Prerequisite(s): Consent of instructor; graduate standing.
NAS 396,— Teaching Assistant Training Practicum,(1-4 units),Course Description: Teaching assistant training.,Prerequisite(s): Graduate standing.
NEM 010V,— General Biology,(4 units),"Course Description: Concepts and issues in biology. Emphasis on composition and structure of organisms; regulation and signaling; heredity, evolution and the interaction and interdependence among life forms and their environments. Designed for students not specializing in biology.",
NEM 100,— Plant Nematology,(4 units),"Course Description: Plant-parasitic nematodes. Cellular, biochemical, and molecular aspects of plant-nematode interaction.",Prerequisite(s): BIS 101.
NEM 110,— Introduction to Nematology,(2 units),"Course Description: Relationship of nematodes to the human environment. Classification, morphology, ecology, distribution, and importance of nematodes occurring in water and soil as parasites of plants and animals.",Prerequisite(s): BIS 002B; or consent of instructor.
NEM 199,— Special Study for Advanced Undergraduates,(1-5 units),Course Description: Special study for advanced undergraduates.,Prerequisite(s): Consent of instructor.
NEM 201,— Molecular & Physiological Plant Nematology,(2 units),"Course Description: Molecular biology and physiology of nematodes using Caenorhabditis elegans as a model, but with emphasis on plant-parasitic species. Plant responses to nematodes. Discussion of current literature emphasized.",Prerequisite(s): BIS 101; PLP 120; (NEM 100 or NEM 110).
NEM 203,— Ecology of Parasitic Nematodes,(2 units),"Course Description: Major concepts in population and community ecology of animal- and plant-parasitic nematodes. Current advances in techniques, theory, and basic information about nematode-host dynamics, and application to management of nematode diseases.",Prerequisite(s): (NEM 100 or NEM 110 or ENT 156); (EVE 101 or PLB 117).
NEM 204,— Management of Plant-Parasitic Nematodes,(2 units),"Course Description: Theory, foundation, principles and practices of nematode management. Techniques and equipment used to manage nematodes and methods used to analyze their effectiveness.",Prerequisite(s): NEM 100 or NEM 110.
